Variável,Grupo Base (média),Grupo Outros (média),Diferença,Diferença Relativa (%),Efeito,p-valor
HDW_av,23653.877,36616.156,-12962.279,-35.4,↓ MENOR,0.0
VentIdx_av,11172.756,13408.789,-2236.033,-16.68,↓ MENOR,0.0
ros_p_lg1,641.241,1991.688,-1350.446,-67.8,↓ MENOR,0.0
f_start,1832.462,968.369,864.093,89.23,↑ MAIOR,0.0
gp_m2s2_av,4802.64,4224.246,578.394,13.69,↑ MAIOR,0.0
VPD_Pa_av,2221.579,2656.042,-434.463,-16.36,↓ MENOR,0.0
BLH_m_av,735.087,1033.36,-298.273,-28.86,↓ MENOR,0.0
wSv_9_av,-105.993,86.792,-192.785,-222.12,↓ MENOR,0.0
gp_300_av,94215.16,94037.961,177.199,0.19,↑ MAIOR,0.0037
DC_12h_av,654.795,815.622,-160.827,-19.72,↓ MENOR,0.0
gp_500_av,57571.313,57468.716,102.597,0.18,↑ MAIOR,0.0005
Cape_av,115.017,33.961,81.055,238.67,↑ MAIOR,0.0
elev_av,514.691,435.324,79.366,18.23,↑ MAIOR,0.0
gp_950_av,5678.62,5710.958,-32.338,-0.57,↓ MENOR,0.007
LCL_hPa_av,772.665,740.735,31.93,4.31,↑ MAIOR,0.0
gp_850_av,15169.058,15197.158,-28.1,-0.18,↓ MENOR,0.0008
wSv_1_av,63.239,89.374,-26.135,-29.24,↓ MENOR,0.0
aspect_av,189.18,211.922,-22.742,-10.73,↓ MENOR,0.0001
inidoy,221.648,241.938,-20.29,-8.39,↓ MENOR,0.0
enddoy,221.833,242.011,-20.179,-8.34,↓ MENOR,0.0
wdi_850_av,179.691,197.199,-17.508,-8.88,↓ MENOR,0.0006
wSdir_9_av,-12.907,1.062,-13.969,-1315.61,↓ MENOR,0.0
wv_850_av,20.702,30.449,-9.747,-32.01,↓ MENOR,0.0
wv_700_av,28.846,38.197,-9.351,-24.48,↓ MENOR,0.0
wv_500_av,35.907,45.119,-9.212,-20.42,↓ MENOR,0.0
rh_2m_av,42.573,34.336,8.237,23.99,↑ MAIOR,0.0
FWI_12h_av,45.529,53.187,-7.658,-14.4,↓ MENOR,0.0
wv_950_av,16.725,24.015,-7.29,-30.36,↓ MENOR,0.0
rh_950_av,39.471,33.301,6.17,18.53,↑ MAIOR,0.0
wv100_k_av,16.271,22.399,-6.128,-27.36,↓ MENOR,0.0
wdi_500_av,207.028,201.106,5.922,2.94,↑ MAIOR,0.0019
sP_hPa_av,961.772,967.31,-5.539,-0.57,↓ MENOR,0.0002
rh_500_av,32.841,38.23,-5.389,-14.1,↓ MENOR,0.0016
rh_700_av,35.44,39.133,-3.693,-9.44,↓ MENOR,0.0005
8_ny_fir_p,60.069,56.563,3.505,6.2,↑ MAIOR,0.0094
wv10_kh_av,10.085,13.399,-3.314,-24.74,↓ MENOR,0.0
duration_p,4.437,1.771,2.665,150.48,↑ MAIOR,0.0
d_2m_C_av,10.945,8.807,2.138,24.27,↑ MAIOR,0.0
wSv_7_av,7.311,9.396,-2.085,-22.19,↓ MENOR,0.0
LiftIdx_av,15.644,13.988,1.656,11.84,↑ MAIOR,0.0
LowCC_p_av,2.128,0.645,1.483,229.81,↑ MAIOR,0.0073
dfmc_av,10.335,8.877,1.458,16.43,↑ MAIOR,0.0
t_2m_C_av,26.236,27.367,-1.131,-4.13,↓ MENOR,0.0041
wSv_5_av,4.966,6.006,-1.039,-17.3,↓ MENOR,0.0
t_700_av,8.581,7.636,0.944,12.37,↑ MAIOR,0.0001
gT_9_8_av,-6.426,-7.349,0.923,-12.56,↑ MAIOR,0.0
t_500_av,-9.727,-10.49,0.763,-7.28,↑ MAIOR,0.0003
landform,23.592,23.976,-0.383,-1.6,↓ MENOR,0.0172
LCL_m_av,2.267,2.603,-0.336,-12.91,↓ MENOR,0.0
gT_8_7_av,-7.365,-7.695,0.331,-4.3,↑ MAIOR,0.0003
gT_5_3_av,-7.676,-7.469,-0.206,2.76,↓ MENOR,0.0
3_8y_fir_p,10.196,9.992,0.204,2.04,↑ MAIOR,0.0006
vwv_850_av,-0.004,0.046,-0.05,-108.26,↓ MENOR,0.0009
CircVar,0.058,0.015,0.043,294.2,↑ MAIOR,0.0
Recirc,0.048,0.012,0.036,288.59,↑ MAIOR,0.0
vwv_500_av,0.006,-0.02,0.027,-130.89,↑ MAIOR,0.0002
vwv_700_av,0.012,0.037,-0.025,-67.69,↓ MENOR,0.0053
sW_289_av,0.289,0.265,0.024,9.24,↑ MAIOR,0.0
sW_3m_av,0.256,0.235,0.021,9.14,↑ MAIOR,0.0
sW_100_av,0.214,0.195,0.018,9.44,↑ MAIOR,0.0
sW_1m_av,0.193,0.178,0.016,8.86,↑ MAIOR,0.0
vwv_950_av,-0.024,-0.013,-0.011,83.66,↓ MENOR,0.0453
sW_28_av,0.152,0.143,0.009,6.51,↑ MAIOR,0.0
sW_7_av,0.108,0.1,0.007,7.26,↑ MAIOR,0.0001
CBH_m_av,4508.84,4850.843,-342.004,-7.05,↓ MENOR,0.0576
Cin_av,-211.273,-169.613,-41.66,24.56,↓ MENOR,0.7452
LFC_hPa_av,726.885,754.591,-27.706,-3.67,↓ MENOR,0.1004
wdi_950_av,198.027,215.385,-17.358,-8.06,↓ MENOR,0.0502
BLH_m_rt,190.6,207.562,-16.962,-8.17,↓ MENOR,0.7134
wdi_300_av,202.156,217.232,-15.076,-6.94,↓ MENOR,0.058
wdir10_av,204.685,217.865,-13.181,-6.05,↓ MENOR,0.3246
wdir100_av,206.813,219.546,-12.734,-5.8,↓ MENOR,0.3331
gp_700_av,31234.31,31222.178,12.132,0.04,↑ MAIOR,0.1804
CCL_hPa_av,734.64,724.893,9.747,1.34,↑ MAIOR,0.0538
HigCC_p_av,25.858,31.215,-5.357,-17.16,↓ MENOR,0.0644
TotCC_p_av,28.859,33.841,-4.982,-14.72,↓ MENOR,0.0828
fuel_model,224.032,226.445,-2.413,-1.07,↓ MENOR,0.1559
gT_s_9_av,-2.625,-4.551,1.926,-42.32,↑ MAIOR,0.3165
rh_850_av,34.85,33.365,1.485,4.45,↑ MAIOR,0.4603
1_3y_fir_p,2.45,1.351,1.099,81.31,↑ MAIOR,0.0651
rh_300_av,50.837,51.771,-0.934,-1.8,↓ MENOR,0.9384
wv_300_av,50.289,49.592,0.697,1.41,↑ MAIOR,0.1044
MidCC_p_av,5.798,5.321,0.476,8.95,↑ MAIOR,0.846
t_850_av,20.026,19.596,0.43,2.19,↑ MAIOR,0.0734
t_950_av,25.915,26.331,-0.416,-1.58,↓ MENOR,0.3252
EL_m_av,6.93,7.288,-0.358,-4.91,↓ MENOR,0.4099
wdi_700_av,188.477,188.777,-0.3,-0.16,↓ MENOR,0.8991
FFMC_12h_a,93.251,93.439,-0.188,-0.2,↓ MENOR,0.316
wSdir_7_av,-0.099,-0.186,0.087,-46.57,↑ MAIOR,0.6806
gT_7_5_av,-7.149,-7.078,-0.071,1.0,↓ MENOR,0.7383
wSdir_5_av,0.016,-0.051,0.067,-131.27,↑ MAIOR,0.2686
wSdir_1_av,0.374,0.332,0.041,12.47,↑ MAIOR,0.8494
CMLG_av,1.532,1.57,-0.038,-2.41,↓ MENOR,0.6476
Haines_av,3.915,3.951,-0.036,-0.92,↓ MENOR,0.1409
t_300_av,-37.264,-37.287,0.023,-0.06,↑ MAIOR,0.5311
f_load_av,19.21,19.19,0.021,0.11,↑ MAIOR,0.9789
land_use,5.473,5.454,0.019,0.35,↑ MAIOR,0.6682
vwv_300_av,0.034,0.016,0.017,108.39,↑ MAIOR,0.0513
