variable,corr_ros_p_model,corr_log_ros_p_model,corr_ros_p_model_log,corr_log_ros_p_model_log,Relation
t_2m_C_av,0.07792451463596768,0.18448063763798742,0.0764941607214017,0.17971060283358115,Relação Exponencial
wSv_7_av,0.1467442453521332,0.08031541342725154,0.10187670573574312,0.05405258750669065,Relação Linear
vwv_700_av,0.14791307583462515,0.07846412644134663,0.15022258451839982,0.07873545932308174,Relação Logarítmica
aspect_av,0.15477601797668133,0.11053600325812142,0.10923086402554474,0.07143994295652706,Relação Linear
Recirc,-0.1722672585195289,-0.294282933169679,-0.18060048864914988,-0.30260220737502225,Relação Potência
wdi_700_av,-0.0034221875585092845,0.01669372256037876,0.018228863866696966,0.014825777301579782,Relação Logarítmica
gT_9_8_av,-0.15313759432921906,-0.20239109117236495,-0.1066510306719037,-0.1435047529571029,Relação Exponencial
FWI_12h_av,0.32070723342631546,0.3297793468287294,0.3054859701331008,0.3159505964754755,Relação Exponencial
Cape_av,-0.18604752986881626,-0.25509363023798354,-0.24520209586083977,-0.29668064102662695,Relação Potência
wdir100_av,0.021806639953212557,0.09786899246800025,0.08760105816196452,0.13303090032460893,Relação Potência
sW_28_av,-0.20104662111953914,-0.17411549967473317,-0.20186977021943106,-0.17357274491521674,Relação Logarítmica
CircVar,-0.16080677932864254,-0.2695951617781595,-0.17235410565279888,-0.2837458193764256,Relação Potência
t_500_av,-0.18057645823222562,-0.07960901931745525,-0.14675236677444758,-0.05489855289024606,Relação Linear
wv_300_av,-0.05594970425940228,-0.024209707793899797,-0.07280077986528402,-0.06311007775342996,Relação Logarítmica
wdi_300_av,0.05742668704184857,0.07184969595702649,0.06943720784991674,0.06359151875873816,Relação Exponencial
rh_500_av,0.11596063335303847,0.0784845276101248,0.09174995178402186,0.05914560524095855,Relação Linear
BLH_m_rt,0.04255214405349567,0.05449629629344279,0.004968941265954612,0.036994049534133336,Relação Exponencial
land_use,-0.012996189747080973,-0.004473087931656648,-0.012996189747080973,-0.004473087931656648,Relação Linear
t_950_av,0.046058110509760934,0.09532609781904725,0.04872646569852138,0.09238244900058408,Relação Exponencial
wSdir_1_av,0.011945987722979255,0.015790346427572984,0.05166928122118224,0.05027696173425131,Relação Logarítmica
vwv_850_av,0.21405739596827605,0.14500717036246866,0.2091685415191722,0.1389364551921935,Relação Linear
wSdir_9_av,0.046282911979964966,0.045092393854265125,0.14987706936364514,0.17211873509044442,Relação Potência
HigCC_p_av,0.07543801084556187,0.05578769040535887,0.07250071861369455,0.04946084763820561,Relação Linear
gp_500_av,-0.1250765513244228,-0.05707515028369049,-0.12492608981430454,-0.05688538943815713,Relação Linear
gp_m2s2_av,-0.17756290399876762,-0.1650828859519559,-0.19453476005329254,-0.16189134768056093,Relação Logarítmica
t_850_av,-0.050858670235805745,-0.023481634634209044,-0.03984896722608605,-0.016762291261309858,Relação Linear
rh_950_av,-0.22063368787920795,-0.2780816223077359,-0.23007510007730872,-0.2774455612321322,Relação Exponencial
wdi_500_av,-0.05923436799533224,-0.04659558650817945,0.008050841372174851,0.005114278168926412,Relação Linear
wSdir_5_av,-0.07421218724877525,-0.1347184655620876,-0.06928824560349194,-0.1357053145660779,Relação Potência
Haines_av,0.04793919290706729,0.041319050025771,0.04793919290706691,0.04131905002577022,Relação Linear
wdi_850_av,0.06950586917342574,0.09529036987921462,0.08215499152683771,0.07283039374269915,Relação Exponencial
FFMC_12h_a,0.037905436293007765,0.09821464746138765,0.03866967816182885,0.09771691016054726,Relação Exponencial
vwv_500_av,-0.1322296270469874,-0.12492992741824813,-0.135691123835057,-0.1275812785442436,Relação Logarítmica
rh_300_av,-0.005458498186621618,-0.016825605053439854,-0.04974062291894366,-0.05665306402340184,Relação Potência
gp_700_av,-0.01248236713404752,0.009408408908122279,-0.011621353298397984,0.010191288662917346,Relação Linear
LCL_m_av,0.18212363957447703,0.281799823666222,0.18216391006141466,0.2826841169353317,Relação Potência
HDW_av,0.2871434087639435,0.383461286057689,0.25422777173408995,0.3720631252108731,Relação Exponencial
sW_1m_av,-0.2368770169793864,-0.22506395826635434,-0.235979657623914,-0.2220869340055254,Relação Linear
sW_100_av,-0.24216343984337618,-0.23570264914218442,-0.24071630750435377,-0.23193955166156954,Relação Linear
sW_3m_av,-0.22841439159401722,-0.21934441459584864,-0.22668177105256967,-0.21521237585893463,Relação Linear
wv_950_av,0.3045784651530983,0.288372689197399,0.31221371528189384,0.3405522204673937,Relação Potência
gT_8_7_av,-0.1635861944080591,-0.1025248088054167,-0.1476385021913405,-0.08598058324740772,Relação Linear
